"","site","Survey","date","year","plot","sp","sp2","wdt_1"
"123","Heathy Spur 2","1990s","30/3/1995",1990,10,"Acrothamnus montanus","Acrothamnus",6
"124","Heathy Spur 2","1990s","30/3/1995",1990,10,"Acrothamnus montanus","Acrothamnus",7
"125","Heathy Spur 2","1990s","30/3/1995",1990,10,"Acrothamnus montanus","Acrothamnus",7
"126","Heathy Spur 2","1990s","30/3/1995",1990,10,"Acrothamnus montanus","Acrothamnus",80
"127","Heathy Spur 2","1990s","30/3/1995",1990,11,"Acrothamnus montanus","Acrothamnus",5
"128","Heathy Spur 2","1990s","30/3/1995",1990,11,"Acrothamnus montanus","Acrothamnus",8
"129","Heathy Spur 2","1990s","30/3/1995",1990,11,"Acrothamnus montanus","Acrothamnus",11
"130","Heathy Spur 2","1990s","30/3/1995",1990,11,"Acrothamnus montanus","Acrothamnus",12
"131","Heathy Spur 2","1990s","30/3/1995",1990,11,"Acrothamnus montanus","Acrothamnus",30
"132","Heathy Spur 2","1990s","30/3/1995",1990,12,"Acrothamnus montanus","Acrothamnus",1
"133","Heathy Spur 2","1990s","30/3/1995",1990,12,"Acrothamnus montanus","Acrothamnus",1
"134","Heathy Spur 2","1990s","30/3/1995",1990,12,"Acrothamnus montanus","Acrothamnus",2
"135","Heathy Spur 2","1990s","30/3/1995",1990,12,"Acrothamnus montanus","Acrothamnus",3
"136","Heathy Spur 2","1990s","30/3/1995",1990,12,"Acrothamnus montanus","Acrothamnus",11
"137","Heathy Spur 2","1990s","30/3/1995",1990,12,"Acrothamnus montanus","Acrothamnus",23
"138","Heathy Spur 2","1990s","30/3/1995",1990,12,"Acrothamnus montanus","Acrothamnus",33
"139","Heathy Spur 2","1990s","30/3/1995",1990,13,"Acrothamnus montanus","Acrothamnus",3
"140","Heathy Spur 2","1990s","30/3/1995",1990,13,"Acrothamnus montanus","Acrothamnus",3
"141","Heathy Spur 2","1990s","30/3/1995",1990,13,"Acrothamnus montanus","Acrothamnus",5
"142","Heathy Spur 2","1990s","30/3/1995",1990,13,"Acrothamnus montanus","Acrothamnus",6
"143","Heathy Spur 2","1990s","30/3/1995",1990,13,"Acrothamnus montanus","Acrothamnus",6
"144","Heathy Spur 2","1990s","30/3/1995",1990,13,"Acrothamnus montanus","Acrothamnus",14
"145","Heathy Spur 2","1990s","30/3/1995",1990,13,"Acrothamnus montanus","Acrothamnus",14
"146","Heathy Spur 2","1990s","30/3/1995",1990,13,"Acrothamnus montanus","Acrothamnus",17
"147","Heathy Spur 2","1990s","30/3/1995",1990,13,"Acrothamnus montanus","Acrothamnus",18
"148","Heathy Spur 2","1990s","30/3/1995",1990,13,"Acrothamnus montanus","Acrothamnus",20
"149","Heathy Spur 2","1990s","30/3/1995",1990,13,"Acrothamnus montanus","Acrothamnus",25
"150","Heathy Spur 2","1990s","30/3/1995",1990,13,"Acrothamnus montanus","Acrothamnus",93
"151","Heathy Spur 2","1990s","30/3/1995",1990,14,"Acrothamnus montanus","Acrothamnus",15
"152","Heathy Spur 2","1990s","30/3/1995",1990,14,"Acrothamnus montanus","Acrothamnus",20
"153","Heathy Spur 2","1990s","30/3/1995",1990,15,"Acrothamnus montanus","Acrothamnus",14
"154","Heathy Spur 2","1990s","30/3/1995",1990,15,"Acrothamnus montanus","Acrothamnus",77
"155","Heathy Spur 2","1990s","30/3/1995",1990,16,"Acrothamnus montanus","Acrothamnus",5
"156","Heathy Spur 2","1990s","30/3/1995",1990,16,"Acrothamnus montanus","Acrothamnus",10
"157","Heathy Spur 2","1990s","30/3/1995",1990,16,"Acrothamnus montanus","Acrothamnus",10
"158","Heathy Spur 2","1990s","30/3/1995",1990,16,"Acrothamnus montanus","Acrothamnus",10
"159","Heathy Spur 2","1990s","30/3/1995",1990,16,"Acrothamnus montanus","Acrothamnus",38
"160","Heathy Spur 2","1990s","30/3/1995",1990,16,"Acrothamnus montanus","Acrothamnus",45
"161","Heathy Spur 2","1990s","30/3/1995",1990,16,"Acrothamnus montanus","Acrothamnus",60
"162","Heathy Spur 2","1990s","30/3/1995",1990,17,"Acrothamnus montanus","Acrothamnus",2
"163","Heathy Spur 2","1990s","30/3/1995",1990,17,"Acrothamnus montanus","Acrothamnus",3
"164","Heathy Spur 2","1990s","30/3/1995",1990,17,"Acrothamnus montanus","Acrothamnus",7
"165","Heathy Spur 2","1990s","30/3/1995",1990,17,"Acrothamnus montanus","Acrothamnus",15
"166","Heathy Spur 2","1990s","30/3/1995",1990,18,"Acrothamnus montanus","Acrothamnus",4
"167","Heathy Spur 2","1990s","30/3/1995",1990,18,"Acrothamnus montanus","Acrothamnus",6
"168","Heathy Spur 2","1990s","30/3/1995",1990,18,"Acrothamnus montanus","Acrothamnus",14
"169","Heathy Spur 2","1990s","30/3/1995",1990,18,"Acrothamnus montanus","Acrothamnus",19
"170","Heathy Spur 2","1990s","30/3/1995",1990,18,"Acrothamnus montanus","Acrothamnus",20
"171","Heathy Spur 2","1990s","30/3/1995",1990,18,"Acrothamnus montanus","Acrothamnus",21
"172","Heathy Spur 2","1990s","30/3/1995",1990,18,"Acrothamnus montanus","Acrothamnus",32
"173","Heathy Spur 2","1990s","30/3/1995",1990,19,"Acrothamnus montanus","Acrothamnus",10
"174","Heathy Spur 2","1990s","30/3/1995",1990,19,"Acrothamnus montanus","Acrothamnus",10
"175","Heathy Spur 2","1990s","30/3/1995",1990,19,"Acrothamnus montanus","Acrothamnus",12
"176","Heathy Spur 2","1990s","30/3/1995",1990,19,"Acrothamnus montanus","Acrothamnus",13
"177","Heathy Spur 2","1990s","30/3/1995",1990,19,"Acrothamnus montanus","Acrothamnus",13
"178","Heathy Spur 2","1990s","30/3/1995",1990,19,"Acrothamnus montanus","Acrothamnus",17
"179","Heathy Spur 2","1990s","30/3/1995",1990,19,"Acrothamnus montanus","Acrothamnus",20
"180","Heathy Spur 2","1990s","30/3/1995",1990,19,"Acrothamnus montanus","Acrothamnus",23
"181","Heathy Spur 2","1990s","30/3/1995",1990,19,"Acrothamnus montanus","Acrothamnus",55
"182","Heathy Spur 2","1990s","30/3/1995",1990,19,"Acrothamnus montanus","Acrothamnus",87
"183","Heathy Spur 2","1990s","30/3/1995",1990,20,"Acrothamnus montanus","Acrothamnus",4
"184","Heathy Spur 2","1990s","30/3/1995",1990,20,"Acrothamnus montanus","Acrothamnus",10
"185","Heathy Spur 2","1990s","30/3/1995",1990,20,"Acrothamnus montanus","Acrothamnus",10
"186","Heathy Spur 2","1990s","30/3/1995",1990,20,"Acrothamnus montanus","Acrothamnus",16
"187","Heathy Spur 2","1990s","30/3/1995",1990,20,"Acrothamnus montanus","Acrothamnus",16
"188","Heathy Spur 2","1990s","30/3/1995",1990,20,"Acrothamnus montanus","Acrothamnus",18
"189","Heathy Spur 2","1990s","30/3/1995",1990,21,"Acrothamnus montanus","Acrothamnus",4
"190","Heathy Spur 2","1990s","30/3/1995",1990,21,"Acrothamnus montanus","Acrothamnus",6
"191","Heathy Spur 2","1990s","30/3/1995",1990,21,"Acrothamnus montanus","Acrothamnus",7
"192","Heathy Spur 2","1990s","30/3/1995",1990,21,"Acrothamnus montanus","Acrothamnus",7
"193","Heathy Spur 2","1990s","30/3/1995",1990,21,"Acrothamnus montanus","Acrothamnus",8
"194","Heathy Spur 2","1990s","30/3/1995",1990,21,"Acrothamnus montanus","Acrothamnus",9
"195","Heathy Spur 2","1990s","30/3/1995",1990,21,"Acrothamnus montanus","Acrothamnus",12
"196","Heathy Spur 2","1990s","30/3/1995",1990,21,"Acrothamnus montanus","Acrothamnus",14
