"","site","Survey","date","year","plot","sp","sp2","wdt_1","wdt_2","ht","area","area_m","notes","X","X.1","X.2"
"162","Heathy Spur 2","1990s","30/3/1995",1990,18,"Acrothamnus montanus","Acrothamnus",14,34,16,153,9335,0,1539335,"",NA
"163","Heathy Spur 2","1990s","30/3/1995",1990,18,"Acrothamnus montanus","Acrothamnus",19,34,26,283,520375,0,28352038,"",NA
"164","Heathy Spur 2","1990s","30/3/1995",1990,18,"Acrothamnus montanus","Acrothamnus",20,22,20,314,15,0,31415,"",NA
"165","Heathy Spur 2","1990s","30/3/1995",1990,18,"Acrothamnus montanus","Acrothamnus",21,26,20,346,350375,0,34635038,"",NA
"166","Heathy Spur 2","1990s","30/3/1995",1990,18,"Acrothamnus montanus","Acrothamnus",32,48,28,804,224,0,804224,"",NA
"167","Heathy Spur 2","1990s","30/3/1995",1990,19,"Acrothamnus montanus","Acrothamnus",10,13,14,78,5375,0,785375,"",NA
"168","Heathy Spur 2","1990s","30/3/1995",1990,19,"Acrothamnus montanus","Acrothamnus",10,15,18,78,5375,0,785375,"",NA
"169","Heathy Spur 2","1990s","30/3/1995",1990,19,"Acrothamnus montanus","Acrothamnus",12,50,24,113,94,0,113094,"",NA
"170","Heathy Spur 2","1990s","30/3/1995",1990,19,"Acrothamnus montanus","Acrothamnus",13,47,14,132,728375,0,13272838,"",NA
"171","Heathy Spur 2","1990s","30/3/1995",1990,19,"Acrothamnus montanus","Acrothamnus",13,22,16,132,728375,0,13272838,"",NA
"172","Heathy Spur 2","1990s","30/3/1995",1990,19,"Acrothamnus montanus","Acrothamnus",17,20,21,226,973375,0,22697338,"",NA
"173","Heathy Spur 2","1990s","30/3/1995",1990,19,"Acrothamnus montanus","Acrothamnus",20,26,18,314,15,0,31415,"",NA
"174","Heathy Spur 2","1990s","30/3/1995",1990,19,"Acrothamnus montanus","Acrothamnus",23,30,20,415,463375,0,41546338,"",NA
"175","Heathy Spur 2","1990s","30/3/1995",1990,19,"Acrothamnus montanus","Acrothamnus",55,50,29,2375,759375,0,237575938,"",NA
"176","Heathy Spur 2","1990s","30/3/1995",1990,19,"Acrothamnus montanus","Acrothamnus",87,60,28,5944,503375,0,594450338,"",NA
"177","Heathy Spur 2","1990s","30/3/1995",1990,20,"Acrothamnus montanus","Acrothamnus",4,5,7,12,566,0,12566,"",NA
"178","Heathy Spur 2","1990s","30/3/1995",1990,20,"Acrothamnus montanus","Acrothamnus",10,12,9,78,5375,0,785375,"",NA
"179","Heathy Spur 2","1990s","30/3/1995",1990,20,"Acrothamnus montanus","Acrothamnus",10,16,17,78,5375,0,785375,"",NA
"180","Heathy Spur 2","1990s","30/3/1995",1990,20,"Acrothamnus montanus","Acrothamnus",16,18,20,201,56,0,201056,"",NA
"181","Heathy Spur 2","1990s","30/3/1995",1990,20,"Acrothamnus montanus","Acrothamnus",16,27,24,201,56,0,201056,"",NA
"182","Heathy Spur 2","1990s","30/3/1995",1990,20,"Acrothamnus montanus","Acrothamnus",18,20,12,254,4615,0,2544615,"",NA
"183","Heathy Spur 2","1990s","30/3/1995",1990,21,"Acrothamnus montanus","Acrothamnus",4,8,6,12,566,0,12566,"",NA
"184","Heathy Spur 2","1990s","30/3/1995",1990,21,"Acrothamnus montanus","Acrothamnus",6,15,8,28,2735,0,282735,"",NA
"185","Heathy Spur 2","1990s","30/3/1995",1990,21,"Acrothamnus montanus","Acrothamnus",7,13,14,38,483375,0,3848338,"",NA
"186","Heathy Spur 2","1990s","30/3/1995",1990,21,"Acrothamnus montanus","Acrothamnus",7,8,12,38,483375,0,3848338,"",NA
"187","Heathy Spur 2","1990s","30/3/1995",1990,21,"Acrothamnus montanus","Acrothamnus",8,6,12,50,264,0,50264,"",NA
"188","Heathy Spur 2","1990s","30/3/1995",1990,21,"Acrothamnus montanus","Acrothamnus",9,8,15,63,615375,0,6361538,"",NA
"189","Heathy Spur 2","1990s","30/3/1995",1990,21,"Acrothamnus montanus","Acrothamnus",12,11,9,113,94,0,113094,"",NA
"190","Heathy Spur 2","1990s","30/3/1995",1990,21,"Acrothamnus montanus","Acrothamnus",14,10,10,153,9335,0,1539335,"",NA
"191","Heathy Spur 2","1990s","30/3/1995",1990,21,"Acrothamnus montanus","Acrothamnus",16,22,16,201,56,0,201056,"",NA
"192","Heathy Spur 2","1990s","30/3/1995",1990,21,"Acrothamnus montanus","Acrothamnus",18,32,18,254,4615,0,2544615,"",NA
"193","Heathy Spur 2","1990s","30/3/1995",1990,21,"Acrothamnus montanus","Acrothamnus",22,30,17,380,1215,0,3801215,"",NA
"194","Heathy Spur 2","1990s","30/3/1995",1990,21,"Acrothamnus montanus","Acrothamnus",24,20,16,452,376,0,452376,"",NA
"195","Heathy Spur 2","1990s","30/3/1995",1990,21,"Acrothamnus montanus","Acrothamnus",28,23,18,615,734,0,615734,"",NA
"196","Heathy Spur 2","1990s","30/3/1995",1990,21,"Acrothamnus montanus","Acrothamnus",35,80,22,962,84375,0,96208438,"",NA
